"","Filename","Date","Hour","Foraging","Total_Events","Year","Month","Day"
"195","Potomac 2017 01 2017 05 10 POD2969 file01.CP14",2017-05-22,5,FALSE,8,"2017","05","22"
"196","Potomac 2017 01 2017 05 10 POD2969 file01.CP15",2017-05-22,5,TRUE,8,"2017","05","22"
"197","Potomac 2017 01 2017 05 10 POD2969 file01.CP16",2017-05-22,16,FALSE,7,"2017","05","22"
"198","Potomac 2017 01 2017 05 10 POD2969 file01.CP17",2017-05-23,0,TRUE,1,"2017","05","23"
"199","Potomac 2017 01 2017 05 10 POD2969 file01.CP18",2017-05-23,3,FALSE,1,"2017","05","23"
"200","Potomac 2017 01 2017 05 10 POD2969 file01.CP19",2017-05-23,7,FALSE,3,"2017","05","23"
"201","Potomac 2017 01 2017 05 10 POD2969 file01.CP20",2017-05-24,0,FALSE,1,"2017","05","24"
"202","Potomac 2017 01 2017 05 10 POD2969 file01.CP21",2017-05-24,13,FALSE,9,"2017","05","24"
"203","Potomac 2017 01 2017 05 10 POD2969 file01.CP22",2017-05-24,13,TRUE,1,"2017","05","24"
"204","Potomac 2017 01 2017 05 10 POD2969 file01.CP23",2017-05-24,14,FALSE,4,"2017","05","24"
"205","Potomac 2017 01 2017 05 10 POD2969 file01.CP24",2017-05-25,9,FALSE,1,"2017","05","25"
"206","Potomac 2017 01 2017 05 10 POD2969 file01.CP25",2017-05-25,9,TRUE,1,"2017","05","25"
"207","Potomac 2017 01 2017 05 10 POD2969 file01.CP26",2017-05-25,11,TRUE,2,"2017","05","25"
"208","Potomac 2017 01 2017 05 10 POD2969 file01.CP27",2017-05-25,17,FALSE,10,"2017","05","25"
"209","Potomac 2017 01 2017 05 10 POD2969 file01.CP28",2017-05-25,17,TRUE,2,"2017","05","25"
"210","Potomac 2017 01 2017 05 10 POD2969 file01.CP29",2017-05-26,8,FALSE,9,"2017","05","26"
"211","Potomac 2017 01 2017 05 10 POD2969 file01.CP30",2017-05-26,8,TRUE,4,"2017","05","26"
"212","Potomac 2017 01 2017 05 10 POD2969 file01.CP31",2017-05-26,9,FALSE,1,"2017","05","26"
"213","Potomac 2017 01 2017 05 10 POD2969 file01.CP32",2017-05-26,9,TRUE,2,"2017","05","26"
"214","Potomac 2017 01 2017 05 10 POD2969 file01.CP33",2017-05-26,20,FALSE,12,"2017","05","26"
"215","Potomac 2017 01 2017 05 10 POD2969 file01.CP34",2017-05-26,20,TRUE,4,"2017","05","26"
"216","Potomac 2017 01 2017 05 10 POD2969 file01.CP35",2017-05-26,21,FALSE,15,"2017","05","26"
"217","Potomac 2017 01 2017 05 10 POD2969 file01.CP36",2017-05-26,21,TRUE,7,"2017","05","26"
"218","Potomac 2017 01 2017 05 10 POD2969 file01.CP37",2017-05-26,22,FALSE,2,"2017","05","26"
"219","Potomac 2017 01 2017 05 10 POD2969 file01.CP38",2017-05-26,23,FALSE,8,"2017","05","26"
"220","Potomac 2017 01 2017 05 10 POD2969 file01.CP39",2017-05-26,23,TRUE,1,"2017","05","26"
"221","Potomac 2017 01 2017 05 10 POD2969 file01.CP40",2017-05-27,2,FALSE,5,"2017","05","27"
"222","Potomac 2017 01 2017 05 10 POD2969 file01.CP41",2017-05-27,2,TRUE,1,"2017","05","27"
"223","Potomac 2017 01 2017 05 10 POD2969 file01.CP42",2017-05-27,5,FALSE,5,"2017","05","27"
"224","Potomac 2017 01 2017 05 10 POD2969 file01.CP43",2017-05-27,5,TRUE,4,"2017","05","27"
"225","Potomac 2017 01 2017 05 10 POD2969 file01.CP44",2017-05-27,6,FALSE,1,"2017","05","27"
"226","Potomac 2017 01 2017 05 10 POD2969 file01.CP45",2017-05-27,6,TRUE,2,"2017","05","27"
"227","Potomac 2017 01 2017 05 10 POD2969 file01.CP46",2017-05-27,11,FALSE,1,"2017","05","27"
"228","Potomac 2017 01 2017 05 10 POD2969 file01.CP47",2017-05-27,15,FALSE,16,"2017","05","27"
"229","Potomac 2017 01 2017 05 10 POD2969 file01.CP48",2017-05-27,15,TRUE,5,"2017","05","27"
"230","Potomac 2017 01 2017 05 10 POD2969 file01.CP49",2017-05-27,16,FALSE,4,"2017","05","27"
"231","Potomac 2017 01 2017 05 10 POD2969 file01.CP50",2017-05-27,16,TRUE,6,"2017","05","27"
"232","Potomac 2017 01 2017 05 10 POD2969 file01.CP51",2017-05-28,8,FALSE,1,"2017","05","28"
"233","Potomac 2017 01 2017 05 10 POD2969 file01.CP52",2017-05-28,8,TRUE,1,"2017","05","28"
"234","Potomac 2017 01 2017 05 10 POD2969 file01.CP53",2017-05-29,9,FALSE,1,"2017","05","29"
"235","Potomac 2017 01 2017 05 10 POD2969 file01.CP54",2017-05-29,11,FALSE,1,"2017","05","29"
"236","Potomac 2017 01 2017 05 10 POD2969 file01.CP55",2017-05-29,17,FALSE,12,"2017","05","29"
"237","Potomac 2017 01 2017 05 10 POD2969 file01.CP56",2017-05-29,17,TRUE,10,"2017","05","29"
"238","Potomac 2017 01 2017 05 10 POD2969 file01.CP57",2017-05-29,18,FALSE,20,"2017","05","29"
"239","Potomac 2017 01 2017 05 10 POD2969 file01.CP58",2017-05-29,18,TRUE,22,"2017","05","29"
